STN,YYYYMMDD,RD,SX
919,20140628,7,0
919,20140629,28,0
919,20140630,8,0
919,20140701,3,0
919,20140702,0,0
919,20140703,0,0
919,20140704,0,0
919,20140705,6,0
919,20140706,22,0
919,20140707,55,0
919,20140708,103,0
919,20140709,251,0
919,20140710,160,0
919,20140711,125,0
919,20140712,4,0
919,20140713,0,0
919,20140714,161,0
919,20140715,0,0
919,20140716,0,0
919,20140717,0,0
919,20140718,0,0
919,20140719,0,0
919,20140720,0,0
919,20140721,0,0
919,20140722,131,0
919,20140723,0,0
919,20140724,0,0
919,20140725,0,0
919,20140726,0,0
919,20140727,0,0
919,20140728,27,0
919,20140729,46,0
919,20140730,0,0
919,20140731,0,0
919,20140801,0,0
919,20140802,0,0
919,20140803,5,0
919,20140804,17,0
919,20140805,0,0
919,20140806,0,0
919,20140807,29,0
919,20140808,0,0
919,20140809,303,0
919,20140810,2,0
919,20140811,100,0
919,20140812,29,0
919,20140813,138,0
919,20140814,4,0
919,20140815,129,0
919,20140816,103,0
919,20140817,7,0
919,20140818,44,0
919,20140819,104,0
919,20140820,6,0
919,20140821,28,0
919,20140822,2,0
919,20140823,6,0
919,20140824,20,0
919,20140825,11,0
919,20140826,225,0
919,20140827,73,0
919,20140828,0,0
919,20140829,65,0
919,20140830,4,0
919,20140831,37,0
919,20140901,23,0
919,20140902,1,0
919,20140903,0,0
919,20140904,0,0
919,20140905,0,0
919,20140906,0,0
919,20140907,0,0
919,20140908,0,0
919,20140909,0,0
919,20140910,0,0
919,20140911,0,0
919,20140912,0,0
919,20140913,0,0
919,20140914,0,0
919,20140915,0,0
919,20140916,0,0
919,20140917,0,0
919,20140918,0,0
919,20140919,20,0
919,20140920,146,0
919,20140921,17,0
919,20140922,0,0
919,20140923,0,0
919,20140924,0,0
919,20140925,210,0
919,20140926,0,0
919,20140927,34,0
919,20140928,0,0
919,20140929,0,0
919,20140930,17,0
919,20141001,2,0
919,20141002,0,0
919,20141003,0,0
919,20141004,0,0
919,20141005,25,0
919,20141006,2,0
919,20141007,32,0
919,20141008,23,0
919,20141009,45,0
919,20141010,0,0
919,20141011,0,0
919,20141012,54,0
919,20141013,63,0
919,20141014,0,0
919,20141015,14,0
919,20141016,56,0
919,20141017,60,0
919,20141018,2,0
919,20141019,0,0
919,20141020,5,0
919,20141021,3,0
919,20141022,208,0
919,20141023,6,0
919,20141024,3,0
919,20141025,53,0
919,20141026,5,0
919,20141027,0,0
919,20141028,0,0
919,20141029,2,0
919,20141030,9,0
919,20141031,0,0
919,20141101,0,0
919,20141102,0,0
919,20141103,128,0
919,20141104,61,0
919,20141105,2,0
919,20141106,3,0
919,20141107,5,0
919,20141108,3,0
919,20141109,0,0
919,20141110,31,0
919,20141111,1,0
919,20141112,3,0
919,20141113,5,0
919,20141114,0,0
919,20141115,81,0
919,20141116,36,0
919,20141117,29,0
919,20141118,2,0
919,20141119,0,0
919,20141120,0,0
919,20141121,0,0
919,20141122,0,0
919,20141123,0,0
919,20141124,9,0
919,20141125,0,0
919,20141126,0,0
919,20141127,2,0
919,20141128,23,0
919,20141129,0,0
919,20141130,0,0
919,20141201,2,0
919,20141202,1,0
919,20141203,0,0
919,20141204,0,0
919,20141205,0,0
919,20141206,24,0
919,20141207,1,0
919,20141208,42,0
919,20141209,28,0
919,20141210,36,0
919,20141211,2,0
919,20141212,62,0
919,20141213,72,0
919,20141214,2,0
919,20141215,18,0
919,20141216,16,0
919,20141217,23,0
919,20141218,25,0
919,20141219,60,0
919,20141220,57,0
919,20141221,6,0
919,20141222,9,0
919,20141223,1,0
919,20141224,2,0
919,20141225,22,0
919,20141226,45,0
919,20141227,243,8
919,20141228,87,9
919,20141229,40,7
919,20141230,2,5
919,20141231,0,2
919,20150101,0,998
919,20150102,28,0
919,20150103,4,0
919,20150104,56,0
919,20150105,0,0
919,20150106,0,0
919,20150107,9,0
919,20150108,46,0
919,20150109,201,0
919,20150110,119,0
919,20150111,30,0
919,20150112,2,0
919,20150113,1,0
919,20150114,117,0
919,20150115,55,0
919,20150116,9,0
919,20150117,9,0
919,20150118,14,0
919,20150119,40,0
919,20150120,6,0
919,20150121,0,0
919,20150122,0,0
919,20150123,0,0
919,20150124,81,2
919,20150125,3,998
919,20150126,16,0
919,20150127,10,0
919,20150128,1,0
919,20150129,63,0
919,20150130,49,3
919,20150131,3,0
919,20150201,38,0
919,20150202,27,998
919,20150203,36,0
919,20150204,1,0
919,20150205,25,1
919,20150206,1,0
919,20150207,0,0
919,20150208,2,0
919,20150209,0,0
919,20150210,4,0
919,20150211,2,0
919,20150212,0,0
919,20150213,0,0
919,20150214,2,0
919,20150215,0,0
919,20150216,0,0
919,20150217,0,0
919,20150218,6,0
919,20150219,0,0
919,20150220,17,0
919,20150221,105,0
919,20150222,17,0
919,20150223,98,0
919,20150224,11,0
919,20150225,33,0
919,20150226,19,0
919,20150227,67,0
919,20150228,2,0
919,20150301,6,0
919,20150302,17,0
919,20150303,23,0
919,20150304,39,0
919,20150305,3,0
919,20150306,0,0
919,20150307,0,0
919,20150308,0,0
919,20150309,0,0
919,20150310,2,0
919,20150311,1,0
919,20150312,0,0
919,20150313,0,0
919,20150314,0,0
919,20150315,3,0
919,20150316,1,0
919,20150317,0,0
919,20150318,0,0
919,20150319,0,0
919,20150320,0,0
919,20150321,3,0
919,20150322,6,0
919,20150323,0,0
919,20150324,0,0
919,20150325,116,0
919,20150326,23,0
919,20150327,24,0
919,20150328,0,0
919,20150329,47,0
919,20150330,163,0
919,20150331,207,0
919,20150401,5,0
919,20150402,60,0
919,20150403,2,0
919,20150404,31,0
919,20150405,0,0
919,20150406,0,0
919,20150407,0,0
919,20150408,0,0
919,20150409,0,0
919,20150410,0,0
919,20150411,0,0
919,20150412,9,0
919,20150413,2,0
919,20150414,0,0
919,20150415,0,0
919,20150416,0,0
919,20150417,0,0
919,20150418,0,0
919,20150419,0,0
919,20150420,0,0
919,20150421,0,0
919,20150422,0,0
919,20150423,0,0
919,20150424,0,0
919,20150425,16,0
919,20150426,7,0
919,20150427,28,0
919,20150428,0,0
919,20150429,10,0
919,20150430,30,0
919,20150501,0,0
919,20150502,0,0
919,20150503,0,0
919,20150504,29,0
919,20150505,122,0
919,20150506,49,0
919,20150507,14,0
919,20150508,12,0
919,20150509,9,0
919,20150510,9,0
919,20150511,0,0
919,20150512,0,0
919,20150513,0,0
919,20150514,0,0
919,20150515,6,0
919,20150516,1,0
919,20150517,9,0
919,20150518,0,0
919,20150519,12,0
919,20150520,32,0
919,20150521,5,0
919,20150522,0,0
919,20150523,0,0
919,20150524,0,0
919,20150525,24,0
919,20150526,0,0
919,20150527,0,0
919,20150528,0,0
919,20150529,6,0
919,20150530,22,0
919,20150531,35,0
919,20150601,68,0
919,20150602,7,0
919,20150603,28,0
919,20150604,0,0
919,20150605,0,0
919,20150606,88,0
919,20150607,0,0
919,20150608,0,0
919,20150609,0,0
919,20150610,0,0
919,20150611,0,0
919,20150612,0,0
919,20150613,104,0
919,20150614,13,0
919,20150615,0,0
919,20150616,0,0
919,20150617,0,0
919,20150618,46,0
919,20150619,17,0
919,20150620,4,0
919,20150621,0,0
919,20150622,48,0
919,20150623,12,0
919,20150624,1,0
919,20150625,0,0
919,20150626,0,0
919,20150627,3,0
919,20150628,0,0
919,20150629,0,0
919,20150630,0,0
919,20150701,0,0
919,20150702,0,0
919,20150703,108,0
919,20150704,0,0
919,20150705,0,0
919,20150706,20,0
919,20150707,0,0
919,20150708,0,0
919,20150709,73,0
919,20150710,0,0
919,20150711,0,0
919,20150712,5,0
919,20150713,6,0
919,20150714,43,0
919,20150715,66,0
919,20150716,6,0
919,20150717,2,0
919,20150718,10,0
919,20150719,41,0
919,20150720,15,0
919,20150721,23,0
919,20150722,2,0
919,20150723,0,0
919,20150724,0,0
919,20150725,20,0
919,20150726,43,0
919,20150727,45,0
919,20150728,42,0
919,20150729,0,0
919,20150730,55,0
919,20150731,77,0
919,20150801,0,0
919,20150802,0,0
919,20150803,0,0
919,20150804,11,0
919,20150805,6,0
919,20150806,0,0
919,20150807,0,0
919,20150808,0,0
919,20150809,0,0
919,20150810,3,0
919,20150811,0,0
919,20150812,0,0
919,20150813,0,0
919,20150814,101,0
919,20150815,7,0
919,20150816,418,0
919,20150817,56,0
919,20150818,114,0
919,20150819,0,0
919,20150820,0,0
919,20150821,0,0
919,20150822,0,0
919,20150823,0,0
919,20150824,173,0
919,20150825,96,0
919,20150826,18,0
919,20150827,23,0
919,20150828,73,0
919,20150829,0,0
919,20150830,14,0
919,20150831,0,0
919,20150901,23,0
919,20150902,6,0
919,20150903,17,0
919,20150904,27,0
919,20150905,122,0
919,20150906,17,0
919,20150907,15,0
919,20150908,2,0
919,20150909,0,0
919,20150910,0,0
919,20150911,0,0
919,20150912,0,0
919,20150913,73,0
919,20150914,66,0
919,20150915,22,0
919,20150916,21,0
919,20150917,72,0
919,20150918,88,0
919,20150919,12,0
919,20150920,1,0
919,20150921,0,0
919,20150922,30,0
919,20150923,231,0
919,20150924,30,0
919,20150925,9,0
919,20150926,0,0
919,20150927,0,0
919,20150928,0,0
919,20150929,0,0
919,20150930,0,0
919,20151001,0,0
919,20151002,0,0
919,20151003,0,0
919,20151004,0,0
919,20151005,0,0
919,20151006,100,0
919,20151007,3,0
919,20151008,15,0
919,20151009,0,0
919,20151010,0,0
919,20151011,0,0
919,20151012,0,0
919,20151013,0,0
919,20151014,0,0
919,20151015,62,0
919,20151016,78,0
919,20151017,70,0
919,20151018,0,0
919,20151019,2,0
919,20151020,0,0
919,20151021,3,0
919,20151022,23,0
919,20151023,11,0
919,20151024,0,0
919,20151025,17,0
919,20151026,0,0
919,20151027,0,0
919,20151028,3,0
919,20151029,2,0
919,20151030,0,0
919,20151031,0,0
919,20151101,0,0
919,20151102,0,0
919,20151103,0,0
919,20151104,0,0
919,20151105,0,0
919,20151106,37,0
919,20151107,6,0
919,20151108,2,0
919,20151109,28,0
919,20151110,0,0
919,20151111,6,0
919,20151112,0,0
919,20151113,0,0
919,20151114,51,0
919,20151115,112,0
919,20151116,17,0
919,20151117,98,0
919,20151118,17,0
919,20151119,6,0
919,20151120,74,0
919,20151121,22,0
919,20151122,32,0
919,20151123,3,0
919,20151124,0,0
919,20151125,98,0
919,20151126,11,0
919,20151127,1,0
919,20151128,23,0
919,20151129,51,0
919,20151130,61,0
919,20151201,206,0
919,20151202,10,0
919,20151203,0,0
919,20151204,49,0
919,20151205,0,0
919,20151206,0,0
919,20151207,0,0
919,20151208,0,0
919,20151209,23,0
