date,year,month,previous_day_rain_mm,season,rain_amount_mm,rain_occurrence,pred_rainfall,pred_rain_occurrence,rain_probability,error,sample_type
20140719,2014,7,0.0,Summer,0.0,0,2.915309278095607,0,0.3523532828317747,2.915309278095607,train
20140720,2014,7,0.0,Summer,0.0,0,2.915309278095607,0,0.3523532828317747,2.915309278095607,train
20140721,2014,7,0.0,Summer,0.0,0,2.915309278095607,0,0.3523532828317747,2.915309278095607,train
20140722,2014,7,0.0,Summer,13.1,1,2.915309278095607,0,0.3523532828317747,-10.184690721904392,train
20140723,2014,7,13.1,Summer,0.0,0,2.421982184433793,1,0.6127294921348341,2.421982184433793,train
20140724,2014,7,0.0,Summer,0.0,0,2.915309278095607,0,0.3523532828317747,2.915309278095607,train
20140725,2014,7,0.0,Summer,0.0,0,2.915309278095607,0,0.3523532828317747,2.915309278095607,train
20140726,2014,7,0.0,Summer,0.0,0,2.915309278095607,0,0.3523532828317747,2.915309278095607,train
20140727,2014,7,0.0,Summer,0.0,0,2.915309278095607,0,0.3523532828317747,2.915309278095607,train
20140728,2014,7,0.0,Summer,2.7,1,2.915309278095607,0,0.3523532828317747,0.21530927809560696,train
20140729,2014,7,2.7,Summer,4.6,1,3.519346154172119,1,0.718256366389733,-1.0806538458278805,train
20140730,2014,7,4.6,Summer,0.0,0,4.205251507027272,1,0.7210836740923999,4.205251507027272,train
20140731,2014,7,0.0,Summer,0.0,0,2.915309278095607,0,0.3523532828317747,2.915309278095607,train
20140801,2014,8,0.0,Summer,0.0,0,3.2776022366341193,0,0.3884774922703888,3.2776022366341193,train
20140802,2014,8,0.0,Summer,0.0,0,3.2776022366341193,0,0.3884774922703888,3.2776022366341193,train
20140803,2014,8,0.0,Summer,0.5,1,3.2776022366341193,0,0.3884774922703888,2.7776022366341193,train
20140804,2014,8,0.5,Summer,1.7,1,4.6918136650108435,1,0.8354501792569707,2.9918136650108433,train
20140805,2014,8,1.7,Summer,0.0,0,4.317947340950263,1,0.742375939196557,4.317947340950263,train
20140806,2014,8,0.0,Summer,0.0,0,3.2776022366341193,0,0.3884774922703888,3.2776022366341193,train
20140807,2014,8,0.0,Summer,2.9,1,3.2776022366341193,0,0.3884774922703888,0.3776022366341194,train
20140808,2014,8,2.9,Summer,0.0,0,4.913712852342366,1,0.7321322519503899,4.913712852342366,train
20140809,2014,8,0.0,Summer,30.3,1,3.2776022366341193,0,0.3884774922703888,-27.02239776336588,train
20140810,2014,8,30.3,Summer,0.2,1,6.240743114013891,1,0.8753599816863109,6.040743114013891,train
20140811,2014,8,0.2,Summer,10.0,1,5.214009218315329,1,0.7337295801606148,-4.785990781684671,train
20140812,2014,8,10.0,Summer,2.9,1,0.695184993007711,1,0.903679219133055,-2.204815006992289,train
20140813,2014,8,2.9,Summer,13.8,1,4.913712852342366,1,0.7321322519503899,-8.886287147657635,train
20140814,2014,8,13.8,Summer,0.4,1,2.0014005537531494,1,0.8645695321040983,1.6014005537531495,train
20140815,2014,8,0.4,Summer,12.9,1,6.168176261331799,1,0.8177612338173508,-6.731823738668202,train
20140816,2014,8,12.9,Summer,10.3,1,2.9596271050530203,1,0.7488009878208374,-7.340372894946981,train
20140817,2014,8,10.3,Summer,0.7,1,1.1237529034577871,1,0.8753368766944912,0.42375290345778716,train
